id,discipline_semester_id,period_id
57711,19455,96
52548,19456,95
55201,19456,97
52549,19457,95
55202,19457,97
57712,19457,96
52550,19458,95
55203,19458,97
57713,19458,96
52551,19459,95
55204,19459,97
57714,19459,96
52552,19460,95
55205,19460,97
57715,19460,96
52553,19461,95
55206,19461,97
57716,19461,96
52554,19538,95
55272,19538,97
57717,19538,96
52555,19539,95
55273,19539,97
57718,19539,96
52556,19540,95
55274,19540,97
57719,19540,96
52557,19541,95
55275,19541,97
57720,19541,96
52558,19542,95
55276,19542,97
57721,19542,96
52559,19543,95
55277,19543,97
57722,19543,96
52560,19544,95
55278,19544,97
52561,19545,95
55207,19545,97
57723,19545,96
52562,19546,95
55208,19546,97
52563,19547,95
55209,19547,97
57724,19547,96
52564,19548,95
55210,19548,97
57725,19548,96
52565,19549,95
55211,19549,97
57726,19549,96
52566,19550,95
55212,19550,97
57727,19550,96
52567,19551,95
55213,19551,97
57728,19551,96
52350,20439,95
55053,20439,97
58298,20439,96
52351,20440,95
55054,20440,97
58299,20440,96
52352,20441,95
55055,20441,97
58300,20441,96
52353,20442,95
55056,20442,97
58301,20442,96
52354,20443,95
55057,20443,97
58302,20443,96
52355,20444,95
55058,20444,97
58303,20444,96
52356,20445,95
55059,20445,97
58304,20445,96
52357,20446,95
55060,20446,97
58305,20446,96
52366,20455,95
55061,20455,97
58306,20455,96
52367,20456,95
55062,20456,97
58307,20456,96
52368,20457,95
55063,20457,97
58308,20457,96
52369,20458,95
55064,20458,97
58309,20458,96
52370,20459,95
55065,20459,97
58310,20459,96
52371,20460,95
55066,20460,97
58311,20460,96
52372,20461,95
55067,20461,97
58312,20461,96
52373,20462,95
55068,20462,97
58313,20462,96
52716,20592,95
55411,20592,97
57865,20592,96
52717,20593,95
55412,20593,97
57866,20593,96
52718,20594,95
55413,20594,97
57867,20594,96
52719,20595,95
55414,20595,97
57868,20595,96
52720,20596,95
55415,20596,97
57869,20596,96
52721,20597,95
55416,20597,97
57870,20597,96
52722,20598,95
55417,20598,97
57871,20598,96
52723,20599,95
55418,20599,97
57872,20599,96
52724,20600,95
55419,20600,97
57873,20600,96
52725,20601,95
55420,20601,97
57874,20601,96
52726,20602,95
55421,20602,97
57875,20602,96
52727,20603,95
55422,20603,97
57876,20603,96
52728,20604,95
55423,20604,97
57877,20604,96
52729,20605,95
55424,20605,97
57878,20605,96
52738,20614,95
55433,20614,97
57886,20614,96
52739,20615,95
55434,20615,97
57887,20615,96
52740,20616,95
55435,20616,97
57888,20616,96
52741,20617,95
55436,20617,97
57889,20617,96
52742,20618,95
55437,20618,97
52743,20619,95
55438,20619,97
57890,20619,96
52744,20620,95
55439,20620,97
57891,20620,96
52745,20621,95
55440,20621,97
57892,20621,96
52761,21175,95
55456,21175,97
57907,21175,96
52762,21176,95
55457,21176,97
57908,21176,96
52763,21177,95
55458,21177,97
57909,21177,96
52764,21178,95
55459,21178,97
57910,21178,96
52765,21179,95
55460,21179,97
57911,21179,96
52766,21180,95
55461,21180,97
57912,21180,96
52767,21181,95
55462,21181,97
50761,21345,92
50763,21347,92
50772,21356,92
50778,21362,92
50779,21363,92
50803,21388,92
50805,21390,92
53632,21579,96
67292,23049,120
62918,23050,111
60206,23051,106
62803,23051,112
60207,23052,106
62804,23052,112
60208,23053,106
62805,23053,112
60210,23055,106
62806,23055,112
60211,23056,106
62807,23056,112
60212,23057,106
62808,23057,112
67293,23058,120
62919,23059,111
60213,23060,106
62809,23060,112
60214,23061,106
62810,23061,112
60215,23062,106
62811,23062,112
60217,23064,106
62812,23064,112
60218,23065,106
62813,23065,112
60219,23066,106
62814,23066,112
60220,23067,106
63133,23067,113
66192,23067,116
60221,23068,106
63134,23068,113
66193,23068,116
60222,23069,106
63135,23069,113
66194,23069,116
60223,23070,106
63136,23070,113
66195,23070,116
60224,23071,106
63137,23071,113
66196,23071,116
60225,23072,106
63138,23072,113
66197,23072,116
60226,23073,106
63139,23073,113
66198,23073,116
60227,23074,106
63140,23074,113
66199,23074,116
67485,23075,121
67487,23085,121
60236,23086,106
63149,23086,113
66208,23086,116
60237,23087,106
63150,23087,113
66209,23087,116
60238,23088,106
63151,23088,113
66210,23088,116
60239,23089,106
63152,23089,113
66211,23089,116
60240,23090,106
63153,23090,113
66212,23090,116
60241,23091,106
63154,23091,113
66213,23091,116
60242,23092,106
63155,23092,113
66214,23092,116
60243,23093,106
63156,23093,113
66215,23093,116
67489,23103,121
60252,23104,106
63165,23104,113
66224,23104,116
60253,23105,106
63166,23105,113
66225,23105,116
60254,23106,106
63167,23106,113
66226,23106,116
60255,23107,106
63168,23107,113
66227,23107,116
60256,23108,106
63169,23108,113
66228,23108,116
60257,23109,106
63170,23109,113
66229,23109,116
60258,23110,106
63171,23110,113
66230,23110,116
60259,23111,106
63172,23111,113
66231,23111,116
60260,23112,106
63173,23112,113
66232,23112,116
60261,23113,106
63174,23113,113
66233,23113,116
60262,23114,106
63175,23114,113
66234,23114,116
60263,23115,106
63176,23115,113
66235,23115,116
60264,23116,106
63177,23116,113
66236,23116,116
60265,23117,106
63178,23117,113
66237,23117,116
67470,23118,121
60266,23119,106
63179,23119,113
66238,23119,116
60267,23120,106
63180,23120,113
66239,23120,116
60268,23121,106
63181,23121,113
66240,23121,116
60269,23122,106
63182,23122,113
66241,23122,116
60270,23123,106
63183,23123,113
66242,23123,116
60271,23124,106
63184,23124,113
66243,23124,116
60272,23125,106
63185,23125,113
66244,23125,116
60273,23126,106
63186,23126,113
66245,23126,116
67471,23127,121
60274,23128,106
63187,23128,113
66246,23128,116
60275,23129,106
63188,23129,113
66247,23129,116
60276,23130,106
63189,23130,113
66248,23130,116
60277,23131,106
63190,23131,113
66249,23131,116
60278,23132,106
63191,23132,113
66250,23132,116
60279,23133,106
63192,23133,113
66251,23133,116
60280,23134,106
63193,23134,113
66252,23134,116
60281,23135,106
63194,23135,113
66253,23135,116
67472,23136,121
60282,23137,106
63195,23137,113
66254,23137,116
60283,23138,106
63196,23138,113
66255,23138,116
67476,24217,121
61186,24218,106
63950,24218,113
66336,24218,116
61187,24219,106
63951,24219,113
66337,24219,116
61188,24220,106
63952,24220,113
66338,24220,116
61189,24221,106
63953,24221,113
66339,24221,116
61190,24222,106
63954,24222,113
66340,24222,116
61191,24223,106
63955,24223,113
66341,24223,116
61192,24224,106
63956,24224,113
66342,24224,116
61193,24225,106
63957,24225,113
66343,24225,116
67477,24226,121
61194,24227,106
63958,24227,113
66344,24227,116
61195,24228,106
63959,24228,113
66345,24228,116
61196,24229,106
63960,24229,113
66346,24229,116
61197,24230,106
63961,24230,113
66347,24230,116
61198,24231,106
63962,24231,113
66348,24231,116
61199,24232,106
63963,24232,113
66349,24232,116
61200,24233,106
63964,24233,113
66350,24233,116
61201,24234,106
63965,24234,113
66351,24234,116
61656,24793,106
64355,24793,113
66604,24793,116
61657,24794,106
64356,24794,113
66605,24794,116
61658,24795,106
64357,24795,113
66606,24795,116
61659,24796,106
64358,24796,113
66607,24796,116
61660,24797,106
64359,24797,113
66608,24797,116
61661,24798,106
64360,24798,113
66609,24798,116
61662,24799,106
64361,24799,113
66610,24799,116
61663,24800,106
64362,24800,113
66611,24800,116
61664,24801,106
64363,24801,113
66612,24801,116
67465,24802,121
61665,24803,106
64364,24803,113
66613,24803,116
61666,24804,106
64365,24804,113
66614,24804,116
61667,24805,106
64366,24805,113
66615,24805,116
61668,24806,106
64367,24806,113
66616,24806,116
61669,24807,106
64368,24807,113
66617,24807,116
61670,24808,106
64369,24808,113
66618,24808,116
61671,24809,106
64370,24809,113
66619,24809,116
61672,24810,106
64371,24810,113
66620,24810,116
61673,24811,106
64372,24811,113
66621,24811,116
67466,24812,121
67447,24964,121
61804,24965,106
64482,24965,113
66470,24965,116
61805,24966,106
64483,24966,113
66471,24966,116
61806,24967,106
64484,24967,113
66472,24967,116
61807,24968,106
64485,24968,113
66473,24968,116
61808,24969,106
64486,24969,113
66474,24969,116
61809,24970,106
64487,24970,113
66475,24970,116
61810,24971,106
64488,24971,113
66476,24971,116
61811,24972,106
64489,24972,113
66477,24972,116
67448,24973,121
61812,24974,106
64490,24974,113
66478,24974,116
61813,24975,106
64491,24975,113
66479,24975,116
61814,24976,106
64492,24976,113
66480,24976,116
61815,24977,106
64493,24977,113
66481,24977,116
61816,24978,106
64494,24978,113
66482,24978,116
61817,24979,106
64495,24979,113
66483,24979,116
61818,24980,106
64496,24980,113
66484,24980,116
61819,24981,106
64497,24981,113
66485,24981,116
67449,24982,121
61820,24983,106
64498,24983,113
66486,24983,116
61821,24984,106
64499,24984,113
66487,24984,116
61822,24985,106
64500,24985,113
66488,24985,116
61823,24986,106
64501,24986,113
66489,24986,116
61824,24987,106
64502,24987,113
66490,24987,116
61825,24988,106
64503,24988,113
66491,24988,116
61826,24989,106
64504,24989,113
66492,24989,116
61827,24990,106
64505,24990,113
66493,24990,116
62955,26075,111
62053,26076,106
62716,26076,112
62054,26077,106
62717,26077,112
62055,26078,106
62718,26078,112
62056,26079,106
62719,26079,112
62057,26080,106
62720,26080,112
67346,26081,120
62058,26082,106
62721,26082,112
62059,26083,106
62722,26083,112
62956,26084,111
62060,26085,106
62723,26085,112
62061,26086,106
62724,26086,112
62062,26087,106
62725,26087,112
62063,26088,106
62726,26088,112
62064,26089,106
62727,26089,112
67342,26090,120
62065,26091,106
62728,26091,112
62066,26092,106
62729,26092,112
62067,26110,106
64712,26110,113
66411,26110,116
62068,26111,106
64713,26111,113
66412,26111,116
62069,26112,106
64714,26112,113
66413,26112,116
62070,26113,106
64715,26113,113
66414,26113,116
62071,26114,106
64716,26114,113
66415,26114,116
62072,26115,106
64717,26115,113
66416,26115,116
67500,26116,121
62073,26117,106
64718,26117,113
66417,26117,116
62074,26118,106
64719,26118,113
66418,26118,116
68519,26883,124
72217,26883,131
74376,26883,134
68520,26884,124
72218,26884,131
74377,26884,134
68521,26885,124
72219,26885,131
74378,26885,134
68522,26886,124
72220,26886,131
74379,26886,134
68523,26887,124
72221,26887,131
74380,26887,134
68524,26888,124
72222,26888,131
74381,26888,134
68525,26889,124
72223,26889,131
74382,26889,134
68526,26890,124
72224,26890,131
74383,26890,134
68527,26891,124
72225,26891,131
74384,26891,134
68537,26901,124
72235,26901,131
74394,26901,134
68538,26902,124
72236,26902,131
74395,26902,134
68539,26903,124
72237,26903,131
74396,26903,134
68540,26904,124
72238,26904,131
68541,26905,124
72239,26905,131
74397,26905,134
68542,26906,124
72240,26906,131
74398,26906,134
68543,26907,124
72241,26907,131
74399,26907,134
68544,26908,124
72242,26908,131
74400,26908,134
68545,26909,124
72243,26909,131
74401,26909,134
68555,26919,124
72253,26919,131
74410,26919,134
68556,26920,124
72254,26920,131
74411,26920,134
68557,26921,124
72255,26921,131
74412,26921,134
68558,26922,124
72256,26922,131
68559,26923,124
72257,26923,131
74413,26923,134
68560,26924,124
72258,26924,131
74414,26924,134
68561,26925,124
72259,26925,131
74415,26925,134
68562,26926,124
72260,26926,131
74416,26926,134
68563,26927,124
72261,26927,131
74417,26927,134
68564,26928,124
72262,26928,131
68565,26929,124
72263,26929,131
74418,26929,134
68566,26930,124
72264,26930,131
74419,26930,134
68567,26931,124
72265,26931,131
74420,26931,134
68568,26932,124
72266,26932,131
74421,26932,134
68569,26933,124
72267,26933,131
74422,26933,134
68570,26934,124
72268,26934,131
74423,26934,134
68571,26935,124
72269,26935,131
68572,26936,124
72270,26936,131
74424,26936,134
68573,26937,124
72271,26937,131
