id,grade,student_id,discipline_semester_period_id,kind,marked_on,passed_on
917391,3,11913,52142,kt_1,2018-10-13,
917392,4,11914,52142,kt_1,2018-10-13,
917393,3,11915,52142,kt_1,2018-10-13,
917394,5,11916,52142,kt_1,2018-10-13,
917395,4,11917,52142,kt_1,2018-10-13,
917396,5,11918,52142,kt_1,2018-10-13,
917397,3,11919,52142,kt_1,2018-10-13,
917398,4,11920,52142,kt_1,2018-10-13,
917399,0,11921,52142,kt_1,2018-10-13,
917400,5,11922,52142,kt_1,2018-10-13,
917401,5,11991,52160,kt_1,2018-10-13,
917402,5,11992,52160,kt_1,2018-10-13,
917403,5,11993,52160,kt_1,2018-10-13,
917404,4,11994,52160,kt_1,2018-10-13,
