id,group_id,title,abbr
14887,188,"Защита выпускной квалификационной работы, включая подготовку к процедуре защиты и процедуру защиты",ЗВКРВПкПЗиПЗ
15477,413,Философия,Философия
15478,413,Культурология,Культуролог.
15479,413,Теория вероятностей и математическая статистика,ТВиМС
15480,413,"Электротехника, электроника и схемотехника",ЭЭиС
15481,413,Объектно-ориентированное программирование,ОП
15482,413,Структуры и алгоритмы обработки данных в ЭВМ,СиАОДвЭВМ
15484,469,Иностранный язык,ИЯ
15485,469,Математика,Математика
15486,469,Физическая культура и спорт,ФКиС
15487,469,Компьютерная графика,КГ
15488,469,Программирование,Программир.
15489,469,Информатика,Информатика
15490,469,Алгоритмы и структуры данных,АиСД
15491,469,Профессиональный английский язык,ПАЯ
15550,414,Философия,Философия
15551,414,Культурология,Культуролог.
15552,414,Теория вероятностей и математическая статистика,ТВиМС
15553,414,"Электротехника, электроника и схемотехника",ЭЭиС
15554,414,Объектно-ориентированное программирование,ОП
15555,414,Структуры и алгоритмы обработки данных в ЭВМ,СиАОДвЭВМ
15557,472,История,История
15558,472,Иностранный язык,ИЯ
15559,472,Физическая культура и спорт,ФКиС
15560,472,Математика,Математика
15561,472,Русский язык и культура речи,РЯиКР
15562,472,Программирование,Программир.
15563,472,Информатика,Информатика
15564,472,Дискретная математика,ДМ
15565,472,Введение в информатику и вычислительную технику,ВвИиВТ
15566,472,Профессиональный иностранный язык,ПИЯ
15567,473,Иностранный язык,ИЯ
15568,473,Математика,Математика
15569,473,Физическая культура и спорт,ФКиС
15570,473,Компьютерная графика,КГ
15571,473,Программирование,Программир.
15572,473,Информатика,Информатика
15573,473,Алгоритмы и структуры данных,АиСД
15574,473,Профессиональный английский язык,ПАЯ
15649,477,История,История
15650,477,Иностранный язык,ИЯ
15651,477,Физическая культура и спорт,ФКиС
15652,477,Математика,Математика
15653,477,Русский язык и культура речи,РЯиКР
15654,477,Программирование,Программир.
15655,477,Информатика,Информатика
15656,477,Дискретная математика,ДМ
15657,477,Введение в информатику и вычислительную технику,ВвИиВТ
15658,477,Профессиональный иностранный язык,ПИЯ
15659,363,Экономика,Экономика
15660,363,Компьютерная графика,КГ
15661,363,Дискретная математика,ДМ
15662,363,Базы данных,БД
15663,363,Структуры данных,СД
15665,478,Иностранный язык,ИЯ
15667,478,Математика,Математика
15668,478,Программирование,Программир.
15669,478,Информатика,Информатика
15670,478,ЭВМ и периферийные устройства,ЭВМиПУ
15671,478,Инженерная графика,ИГ
15732,482,История,История
15733,482,Иностранный язык,ИЯ
15734,482,Физическая культура и спорт,ФКиС
15735,482,Математика,Математика
15736,482,Русский язык и культура речи,РЯиКР
15737,482,Программирование,Программир.
15738,482,Информатика,Информатика
15739,482,Дискретная математика,ДМ
15740,482,Введение в информатику и вычислительную технику,ВвИиВТ
15741,482,Профессиональный иностранный язык,ПИЯ
15757,483,Иностранный язык,ИЯ
15758,483,Физическая культура и спорт,ФКиС
15759,483,Математика,Математика
15760,483,Программирование,Программир.
15761,483,Информатика,Информатика
15762,483,ЭВМ и периферийные устройства,ЭВМиПУ
15763,483,Инженерная графика,ИГ
15833,374,Экономика,Экономика
15834,374,Компьютерная графика,КГ
15835,374,Дискретная математика,ДМ
15836,374,Базы данных,БД
15837,374,Структуры данных,СД
15839,488,Иностранный язык,ИЯ
15840,488,Физическая культура и спорт,ФКиС
15841,488,Математика,Математика
15842,488,Программирование,Программир.
15843,488,Информатика,Информатика
15844,488,ЭВМ и периферийные устройства,ЭВМиПУ
15845,488,Инженерная графика,ИГ
16659,93,Правоведение,Правоведен.
16660,93,Функциональное и логическое программирование,ФиЛП
16662,93,Системы цифровой обработки сигналов,СЦОС
16663,93,Системный анализ / Теория систем,СА
16664,93,Параллельное программирование / GRID-технологии,ПП
16665,93,Учебно-исследовательская работа 4 ****,УР
16666,93,Программное обеспечение для медицинских исследований (ГПО 4)****,ПОДМИ
16675,18,Правоведение,Правоведен.
16676,18,Функциональное и логическое программирование,ФиЛП
16677,18,Проектирование и техническое сопровождение компьютерных сетей,ПиТСКС
16678,18,Системы цифровой обработки сигналов,СЦОС
16679,18,Системный анализ / Теория систем,СА
16680,18,Параллельное программирование / GRID-технологии,ПП
16681,18,Учебно-исследовательская работа 4 ****,УР
16682,18,Программное обеспечение для медицинских исследований (ГПО 4)****,ПОДМИ
16799,136,Защита информации,ЗИ
16800,136,Новые технологии в программировании,НТвП
16801,136,Автоматизация конструкторского и технологического проектирования,АКиТП
16802,136,Лингвистическое и программное обеспечение САПР,ЛиПОСАПР
16803,136,Основы разработки САПР,ОРСАПР
16804,136,Технологии создания Интернет-приложений ****,ТСИ
16805,136,Информационные системы и САПР (ГПО-4),ИСиСАПР
16806,28,Защита информации,ЗИ
16807,28,Новые технологии в программировании,НТвП
16808,28,Автоматизация конструкторского и технологического проектирования,АКиТП
16809,28,Лингвистическое и программное обеспечение САПР,ЛиПОСАПР
16810,28,Основы разработки САПР,ОРСАПР
16811,28,Технологии создания Интернет-приложений ****,ТСИ
16812,28,Информационные системы и САПР (ГПО-4),ИСиСАПР
16820,127,Метрология и технические измерения,МиТИ
16821,127,Теория систем и системный анализ,ТСиСА
16822,127,Теория и системы управления,ТиСУ
16823,127,Искусственный интеллект,ИИ
16824,127,Механика / Схемотехника,Механика
16825,127,Вычислительная математика,ВМ
16826,127,Программная инженерия и технология (ГПО-2),ПИиТ
17297,541,Экономика,Экономика
17298,541,Объектно-ориентированное программирование,ОП
17299,541,Дискретная математика,ДМ
17300,541,Математическая логика и теория алгоритмов,МЛиТА
17301,541,Информационные технологии,ИТ
17302,541,Физика для информатики,ФДИ
17467,363,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",УП
17469,374,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",УП
17478,127,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПП
17484,136,Производственная практика (технологическая практика),ПП
17485,28,Технологическая практика,ПП
17510,93,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПП
17512,18,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПП
17696,541,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",УП
19045,136,Защита выпускной квалификационной работы,ВКР
19046,136,Производственная практика (преддипломная практика),ПДП
19047,136,Патентоведение,Патентовед.
19048,136,Научно-исследовательская работа студентов-1,НРС
19049,136,Промышленная логистика,ПЛ
19051,136,Правоведение,Правоведен.
19052,136,Безопасность жизнедеятельности,БЖ
19053,136,Менеджмент,Менеджмент
19054,28,Защита выпускной квалификационной работы,ВКР
19055,28,Производственная практика (преддипломная практика),ПДП
19056,28,Патентоведение,Патентовед.
19057,28,Научно-исследовательская работа студентов-1,НРС
