id,study_id,enrollment_at,deleted_at,group_id
12237,157575,2018-08-31,2021-10-15 01:00:06 +0700,488
12238,157573,2018-08-31,2022-09-06 01:00:07 +0700,488
12239,157537,2018-08-31,2022-09-06 01:00:07 +0700,488
12240,158961,2018-08-31,2022-09-06 01:00:07 +0700,488
12241,157581,2018-08-31,2022-09-06 01:00:07 +0700,488
12242,157559,2018-08-31,2019-09-01 01:00:10 +0700,488
12243,157519,2018-08-31,2021-10-13 01:00:07 +0700,488
12244,157539,2018-08-31,2022-09-06 01:00:07 +0700,488
12245,157501,2018-08-31,2022-09-06 01:00:07 +0700,488
12246,157514,2018-08-31,2020-06-25 01:00:07 +0700,488
12247,157535,2018-08-31,2020-12-24 01:00:06 +0700,488
12248,157525,2018-08-31,2019-02-27 01:01:04 +0700,488
12249,157540,2018-08-31,2022-06-25 01:00:07 +0700,488
12250,157538,2018-08-31,2022-07-20 01:00:10 +0700,488
12251,157524,2018-08-31,2019-02-08 01:00:40 +0700,488
13209,149840,2018-09-06,2018-11-27 01:01:04 +0700,374
13222,154098,2018-09-07,2019-03-08 01:01:34 +0700,541
13223,154105,2018-09-07,2021-09-04 20:21:03 +0700,541
13224,154094,2018-09-07,2021-09-04 20:21:03 +0700,541
13225,154092,2018-09-07,2021-07-02 01:00:06 +0700,541
13226,154100,2018-09-07,2021-07-21 01:00:05 +0700,541
13227,154108,2018-09-07,2021-09-04 20:21:03 +0700,541
13228,154103,2018-09-07,2021-07-21 01:00:05 +0700,541
13229,154101,2018-09-07,2021-04-03 01:00:06 +0700,541
13230,154102,2018-09-07,2021-07-03 01:00:06 +0700,541
13231,154107,2018-09-07,2021-07-21 01:00:05 +0700,541
13232,154097,2018-09-07,2021-07-21 01:00:05 +0700,541
13233,154109,2018-09-07,2021-09-04 20:21:03 +0700,541
13234,154116,2018-09-07,2021-09-04 20:21:03 +0700,541
13235,154091,2018-09-07,2021-09-04 20:21:03 +0700,541
13236,155099,2018-09-07,2018-09-30 01:00:12 +0700,541
13237,154088,2018-09-07,2021-09-04 20:21:03 +0700,541
13238,153881,2018-09-07,2018-09-14 01:00:09 +0700,541
13239,154093,2018-09-07,2021-07-21 01:00:05 +0700,541
13240,154112,2018-09-07,2018-10-20 01:00:52 +0700,541
13241,154106,2018-09-07,2021-09-04 20:21:03 +0700,541
13242,154090,2018-09-07,2019-02-14 01:00:51 +0700,541
13243,154113,2018-09-07,2021-07-21 01:00:05 +0700,541
13247,146860,2018-09-07,2020-09-02 17:07:15 +0700,127
13509,159095,2018-09-12,2021-02-26 13:21:48 +0700,478
13510,159094,2018-09-12,2019-01-30 01:01:05 +0700,488
13523,144453,2018-09-15,2019-07-14 01:00:09 +0700,28
13524,144454,2018-09-15,2019-06-08 01:00:08 +0700,28
13532,150138,2018-09-15,2019-01-13 01:01:05 +0700,541
13537,140543,2018-09-21,2019-06-19 01:00:09 +0700,136
13721,143684,2018-09-27,2019-07-14 01:00:09 +0700,28
13743,159345,2018-09-30,2021-09-04 01:00:07 +0700,374
13747,159327,2018-10-03,2022-08-19 01:00:06 +0700,478
13779,154664,2018-10-20,2021-09-04 20:21:03 +0700,541
14084,146787,2018-10-25,2019-08-31 01:00:10 +0700,18
14085,147318,2018-10-25,2019-07-12 01:00:10 +0700,18
14086,147340,2018-10-25,2019-08-31 01:00:10 +0700,18
14087,147440,2018-10-25,2019-08-31 01:00:10 +0700,18
14088,147673,2018-10-25,2019-07-12 01:00:10 +0700,18
14089,147766,2018-10-25,2019-07-12 01:00:10 +0700,18
14090,147754,2018-10-25,2019-08-31 01:00:10 +0700,18
14091,147761,2018-10-25,2019-08-31 01:00:10 +0700,18
14092,147076,2018-10-25,2019-08-31 01:00:10 +0700,93
14093,147217,2018-10-25,2019-04-27 01:00:48 +0700,93
14094,147751,2018-10-25,2019-08-31 01:00:10 +0700,93
14098,147037,2018-10-31,2019-03-09 01:00:44 +0700,414
14099,144660,2018-11-01,2019-07-14 01:00:09 +0700,28
