id,semester_id,course_id,name
23731,17,1140,Бизнес-планирование
23732,17,1140,Математическое моделирование/ Рынки инфомационно-коммуникационных технологий
23733,17,1140,История
23734,17,1140,Физическая культура и спорт
23735,17,1140,Экономическая теория (микро- и макроэкономика)
23736,17,1140,Введение в специальность
23737,17,1140,Информатика и программирование
23738,17,1140,Математический анализ
23739,17,1140,Линейная алгебра
23740,17,1140,Информационные технологии обработки данных
23741,17,1140,Русский язык и культура речи
23742,17,1143,Информационное право и защита интеллектуальной собственности/ Коммерциализация научно-технических разработок
23743,17,1143,Методы и технологии программирования
23744,17,1143,Функциональное и логическое программирование
23745,17,1143,Тестирование программного обеспечения
23746,17,1143,Управление жизненным циклом программных систем / Системы искусственного интеллекта
23747,17,1143,Разработка интернет-приложений / Системы реального времени
23748,17,1143,Учебно-исследовательская работа студентов****
23749,17,1143,Планирование и организация разработки инновационной продукции (ГПО 3)****
23757,17,1141,Математический анализ
23758,17,1141,Операционные системы и сети
23759,17,1141,Вычислительная математика
23760,17,1141,Теория автоматов и формальных языков
23761,17,1141,Интеллектуальные вычислительные системы
23762,17,1141,Методы и алгоритмы распознования и цифровой обработки данных /IT консалтинг
23763,17,1141,Научный семинар: Управление жизненным циклом тиражных (рыночных) программных продуктов
23764,17,1141,Профессиональный английский язык
23765,17,1141,Вывод на рынок новых программных продуктов
23766,17,1140,Математика
23767,17,1140,Основы алгоритмизации
23768,17,1140,Введение в программную инженерию
23769,17,1140,Дискретная математика
23770,17,1140,Параллельные вычисления и системы
23771,17,1140,Архитектура предприятия
23772,17,1140,Бизнес-планирование IT-проектов
23773,17,1143,Правоведение
23774,17,1143,Проектирование и техническое сопровождение компьютерных сетей
23775,17,1143,Системы цифровой обработки сигналов
23776,17,1143,Системный анализ / Теория систем
23777,17,1143,Параллельное программирование / GRID-технологии
23778,17,1143,Учебно-исследовательская работа 4 ****
23779,17,1143,Программное обеспечение для медицинских исследований (ГПО 4)****
23786,17,1141,Математика
23787,17,1141,"Электротехника, электроника и схемотехника"
23788,17,1141,Объектно-ориентированное программирование
23789,17,1141,Структуры и алгоритмы обработки данных в ЭВМ
23790,17,1141,Технология разработки программного обеспечения
23791,17,1141,Архитектура вычислительных комплексов
23792,17,1141,Вычислительные системы
