id,academic_year_id,number,parity,starts_at,completes_at
556,11,35,odd,2021-04-26,2021-05-01
557,11,36,even,2021-05-03,2021-05-08
558,11,37,odd,2021-05-10,2021-05-15
559,11,38,even,2021-05-17,2021-05-22
560,11,39,odd,2021-05-24,2021-05-29
561,11,40,even,2021-05-31,2021-06-05
562,11,41,odd,2021-06-07,2021-06-12
563,11,42,even,2021-06-14,2021-06-19
564,11,43,odd,2021-06-21,2021-06-26
565,11,44,even,2021-06-28,2021-07-03
566,11,45,odd,2021-07-05,2021-07-10
567,11,46,even,2021-07-12,2021-07-17
568,11,47,odd,2021-07-19,2021-07-24
569,11,48,even,2021-07-26,2021-07-31
570,11,49,odd,2021-08-02,2021-08-07
571,11,50,even,2021-08-09,2021-08-14
572,11,51,odd,2021-08-16,2021-08-21
573,11,52,even,2021-08-23,2021-08-28
574,11,53,odd,2021-08-30,2021-08-31
575,12,1,odd,2021-08-30,2021-09-04
576,12,2,even,2021-09-06,2021-09-11
577,12,3,odd,2021-09-13,2021-09-18
578,12,4,even,2021-09-20,2021-09-25
579,12,5,odd,2021-09-27,2021-10-02
580,12,6,even,2021-10-04,2021-10-09
581,12,7,odd,2021-10-11,2021-10-16
582,12,8,even,2021-10-18,2021-10-23
583,12,9,odd,2021-10-25,2021-10-30
584,12,10,even,2021-11-01,2021-11-06
585,12,11,odd,2021-11-08,2021-11-13
586,12,12,even,2021-11-15,2021-11-20
587,12,13,odd,2021-11-22,2021-11-27
588,12,14,even,2021-11-29,2021-12-04
589,12,15,odd,2021-12-06,2021-12-11
590,12,16,even,2021-12-13,2021-12-18
591,12,17,odd,2021-12-20,2021-12-25
592,12,18,even,2021-12-27,2022-01-01
593,12,19,odd,2022-01-03,2022-01-08
594,12,20,even,2022-01-10,2022-01-15
595,12,21,odd,2022-01-17,2022-01-22
596,12,22,even,2022-01-24,2022-01-29
597,12,23,odd,2022-01-31,2022-02-05
598,12,24,even,2022-02-07,2022-02-12
599,12,25,odd,2022-02-14,2022-02-19
600,12,26,even,2022-02-21,2022-02-26
601,12,27,odd,2022-02-28,2022-03-05
602,12,28,even,2022-03-07,2022-03-12
603,12,29,odd,2022-03-14,2022-03-19
604,12,30,even,2022-03-21,2022-03-26
605,12,31,odd,2022-03-28,2022-04-02
606,12,32,even,2022-04-04,2022-04-09
607,12,33,odd,2022-04-11,2022-04-16
608,12,34,even,2022-04-18,2022-04-23
609,12,35,odd,2022-04-25,2022-04-30
610,12,36,even,2022-05-02,2022-05-07
