id,week_id,training_id,plan_loading,loading
1810173,325,117429,2,0
1810174,326,117429,0,0
1810175,327,117429,2,0
1810176,328,117429,0,0
1810177,329,117429,2,0
1810178,330,117429,0,0
1810179,331,117429,0,0
1810180,332,117429,0,0
1810181,313,117430,0,0
1810182,314,117430,2,0
1810183,315,117430,2,0
1810184,316,117430,2,0
1810185,317,117430,2,0
1810186,318,117430,2,0
1810187,319,117430,2,0
1810188,320,117430,2,0
1810189,321,117430,2,0
1810190,322,117430,2,0
1810191,323,117430,2,0
1810192,324,117430,2,0
1810193,325,117430,2,0
1810194,326,117430,2,0
1810195,327,117430,2,0
1810196,328,117430,2,0
1810197,329,117430,2,0
1810198,330,117430,0,0
1810199,331,117430,0,0
1810200,332,117430,0,0
1810201,313,117432,2,0
1810202,314,117432,0,0
1810203,315,117432,2,0
1810204,316,117432,0,0
1810205,317,117432,2,0
1810206,318,117432,0,0
1810207,319,117432,2,0
1810208,320,117432,0,0
1810209,321,117432,2,0
1810210,322,117432,0,0
1810211,323,117432,2,0
1810212,324,117432,0,0
1810213,325,117432,2,0
1810214,326,117432,0,0
1810215,327,117432,2,0
1810216,328,117432,0,0
1810217,329,117432,2,0
1810218,330,117432,0,0
1810219,331,117432,0,0
1810220,332,117432,0,0
1810221,313,117433,0,0
1810222,314,117433,0,0
1810223,315,117433,0,0
1810224,316,117433,0,0
1810225,317,117433,0,0
1810226,318,117433,0,0
1810227,319,117433,0,0
1810228,320,117433,0,0
1810229,321,117433,0,0
1810230,322,117433,0,0
1810231,323,117433,4,0
1810232,324,117433,0,0
1810233,325,117433,4,0
1810234,326,117433,0,0
1810235,327,117433,4,0
1810236,328,117433,0,0
1810237,329,117433,4,0
1810238,330,117433,0,0
1810239,331,117433,0,0
1810240,332,117433,0,0
1810241,313,117434,0,0
1810242,314,117434,2,0
1810243,315,117434,0,0
1810244,316,117434,2,0
1810245,317,117434,0,0
1810246,318,117434,2,0
1810247,319,117434,0,0
1810248,320,117434,2,0
1810249,321,117434,0,0
1810250,322,117434,2,0
1810251,323,117434,0,0
1810252,324,117434,2,0
1810253,325,117434,0,0
1810254,326,117434,2,0
1810255,327,117434,0,0
1810256,328,117434,2,0
1810257,329,117434,0,0
1810258,330,117434,2,0
1810259,331,117434,0,0
1810260,332,117434,0,0
1810261,313,117436,2,0
1810262,314,117436,2,0
1810263,315,117436,2,0
1810264,316,117436,2,0
1810265,317,117436,2,0
1810266,318,117436,2,0
1810267,319,117436,2,0
1810268,320,117436,2,0
1810269,321,117436,2,0
1810270,322,117436,2,0
1810271,323,117436,2,0
1810272,324,117436,2,0
1810273,325,117436,2,0
1810274,326,117436,2,0
1810275,327,117436,4,0
1810276,328,117436,2,0
1810277,329,117436,4,0
1810278,330,117436,2,0
1810279,331,117436,0,0
1810280,332,117436,0,0
1810281,313,117437,4,0
1810282,314,117437,4,0
1810283,315,117437,4,0
1810284,316,117437,4,0
1810285,317,117437,4,0
1810286,318,117437,4,0
1810287,319,117437,4,0
1810288,320,117437,4,0
1810289,321,117437,4,0
1810290,322,117437,4,0
1810291,323,117437,4,0
1810292,324,117437,4,0
1810293,325,117437,4,0
1810294,326,117437,4,0
1810295,327,117437,4,0
